SampleID	Group
856CFir	WT
857CFir	WT
858CFir	WT
861CFir	WT
862CFir	WT
863CFir	WT
851CFir	WT
853CFir	WT
854CFir	WT
855CFir	WT
868CFir	WT
869CFir	WT
864CFir	WT
866CFir	WT
871CFir	WT
872CFir	WT
873CFir	WT
875CFir	WT
856CEnd	WT_Perio
857CEnd	WT_Perio
858CEnd	WT_Perio
861CEnd	WT_Perio
862CEnd	WT_Perio
863CEnd	WT_Perio
876CFir	KO
878CFir	KO
880CFir	KO
881CFir	KO
882CFir	KO
883CFir	KO
884CFir	KO
885CFir	KO
886CFir	KO
887CFir	KO
888CFir	KO
889CFir	KO
876CEnd	KO_Perio
878CEnd	KO_Perio
880CEnd	KO_Perio
881CEnd	KO_Perio
882CEnd	KO_Perio
